author_clean,avg_star_rating (Sum),author_num_books (Sum),avg_want_to_read (Sum)
50 Cent,0,0,0
A.B. Admin,0,0,0
A.C. Grayling,0,0,0
A.G. Lafley,0,0,0
A.J. Hoge,0,0,0
A.J. Jacobs,0,0,0
A.J. Russell,0,0,0
A.J. Winters,0,0,0
Aachrya Sharma,0,0,0
Aaron Clarey,0,0,0
Aaron E. Carroll,0,0,0
Aaron James,0,0,0
Aaron Kennard,0,0,0
Aaron Ross,0,0,0
AARP,0,0,0
Abby Covert,0,0,0
Abel James,0,0,0
Abhinav Bindra,0,0,0
Abigail R. Gehring,0,0,0
Abigail Thomas,0,0,0
Abraham H. Maslow,0,0,0
Ada Calhoun,0,0,0
Adam    Brown,0,0,0
Adam Alter,0,0,0
Adam Braun,0,0,0
Adam Bryant,0,0,0
Adam Campbell,0,0,0
Adam Cash,0,0,0
Adam Galinsky,0,0,0
Adam Gazzaley,0,0,0
Adam Gnade,0,0,0
Adam J. Kurtz,0,0,0
Adam Kahane,0,0,0
Adam Khoo,0,0,0
Adam M. Grant,0,0,0
Adam Morgan,0,0,0
Adam Pash,0,0,0
Adam Price,0,0,0
Adam Robinson,0,0,0
Adam Ruben,0,0,0
Adam S. McHugh,0,0,0
Adam Smiley Poswolsky,0,0,0
Adele Faber,0,0,0
Adelyn Birch,0,0,0
Adrian Gostick,0,0,0
Adrian J. Slywotzky,0,0,0
Adrianna Adarme,0,0,0
Adrienne Maree Brown,0,0,0
Adult Children of Alcoholics World Service Organization,0,0,0
Aimee Liu,0,0,0
Aimee Song,0,0,0
Ainslie MacLeod,0,0,0
Ajahn Brahm,0,0,0
Ajahn Chah,0,0,0
Akash Karia,0,0,0
Al Carraway,0,0,0
Al Franken,0,0,0
Al Pittampalli,0,0,0
Al Ries,0,0,0
Alan  Francis,0,0,0
Alan  Watt,0,0,0
Alan Alda,0,0,0
Alan Christianson,0,0,0
Alan Deutschman,0,0,0
Alan Downs,0,0,0
Alan E. Fruzzetti,0,0,0
Alan E. Kazdin,0,0,0
Alan Fine,0,0,0
Alan Flusser,0,0,0
Alan Jacobs,0,0,0
Alan Klement,0,0,0
Alan Lakein,0,0,0
Alan Lew,0,0,0
Alan Loy McGinnis,0,0,0
Alan Lurie,0,0,0
Alan Morinis,0,0,0
Alan Roger Currie,0,0,0
Alan S. Miller,0,0,0
Alana Chernila,0,0,0
Alanna Collen,0,0,0
Alastair Campbell,0,0,0
Alastair Humphreys,0,0,0
Albert J. Bernstein,0,0,0
Albert L. Winseman,0,0,0
Alberto Villoldo,0,0,0
Alejandro Cremades,0,0,0
Alejandro Junger,0,0,0
Alex  Harris,0,0,0
Alex  Hutchinson,0,0,0
Alex Avery,0,0,0
Alex Becker,0,0,0
Alex Foster,0,0,0
Alex H. Frey,0,0,0
Alex Ikonn,0,0,0
Alex Korb,0,0,0
Alex Lickerman,0,0,0
Alex Pattakos,0,0,0
