author_clean,avg_star_rating (Sum),avg_num_ratings (Sum),author_num_books (Sum),bt_count (Sum),avg_currently_reading (Sum),avg_want_to_read (Sum),avg_kindle_price (Sum),secular_count (Sum),spiritual_count (Sum),avg_cred_score (Sum)
Arnold Schwarzenegger,4.2,13919,83,0,1683,8939,$17.23,3,0,3.0
Brené Brown,4.3,84260,77,2,3956,23659,$14.49,5,3,5.0
Oprah Winfrey,4.2,26331,116,0,2462,321,$14.49,0,2,3.0
Demi Lovato,3.9,11584,21,0,2058,141,$13.80,1,0,2.0
Rhonda Byrne,4.1,78556,44,0,1673,2187,$13.19,0,7,2.0
Eckhart Tolle,4.2,28522,258,0,492,1491,$12.98,0,9,2.0
Russell Brand,4.0,11938,37,0,3532,133,$11.99,0,1,2.0
Jillian Michaels,3.7,2112,31,0,239,1222,$11.51,5,0,2.7
Mark Manson,4.1,291388,59,1,696,1661,$11.49,2,2,3.0
Deepak Chopra,3.9,3150,548,0,571,3329,$11.28,2,22,4.4
Jen Sincero,3.9,98521,149,0,2765,6233,$10.99,2,0,2.0
Dale Carnegie,4.0,96406,1308,0,1377,1976,$10.81,9,3,3.0
Gabrielle Bernstein,3.9,7909,51,0,1835,4449,$10.79,0,5,2.0
Phillip C. McGraw,3.6,3633,84,0,327,2342,$10.69,7,0,3.0
Maria Menounos,3.6,872,4,0,74,480,$9.49,2,0,2.0
Donald J. Trump,3.7,4538,215,0,629,2138,$8.65,7,1,1.6
Napoleon Hill,4.2,35444,1347,0,1167,3094,$8.41,9,2,1.0
Esther Hicks,4.4,7275,204,0,808,2853,$8.24,0,8,1.0
Norman Vincent Peale,4.2,29756,603,1,2438,2043,$5.83,0,4,3.0
Rainn Wilson,4.0,1325,18,0,96,3049,$0.00,1,0,2.0
