key_cat_primary_agg,Confidence & Assertiveness Issues,Finding Meaning in Metaphysics,"Identity, Self-Image & Belonging",Interpersonal & Family Dynamics,Life Direction & Motivation,Mental & Emotional Health,Spiritual & Existential Crisis,Stress Management,Structural & Physical Challenges,Underachievement & Stalled Potential,Grand Total
year_bin_10yr,key_cat_primary (Count All),,,,,,,,,,
0_pre-1855,,,,,,1,1,,,,2
1855-1864,1,,,,,,1,1,,,3
1865-1874,,,,,,,1,,,,1
1875-1884,,,,,3,,2,1,,,6
1885-1894,3,1,,,,,4,,,,8
1895-1904,5,8,2,,2,4,17,1,,6,45
1905-1914,5,11,1,3,2,2,20,3,2,3,52
1915-1924,4,3,1,,1,3,11,4,,6,33
1925-1934,,4,1,,3,1,14,4,3,5,35
1935-1944,5,12,1,1,4,3,16,1,2,6,51
1945-1954,12,10,1,2,3,6,32,7,4,8,85
1955-1964,12,17,3,7,2,10,49,15,5,14,134
1965-1974,12,41,14,17,9,28,99,18,8,22,268
1975-1984,65,86,56,62,32,62,188,60,22,53,686
1985-1994,129,239,121,122,92,186,463,171,63,166,1752
1995-2004,393,461,411,328,296,471,1181,517,224,419,4701
2005-2014,1011,682,1168,551,866,897,2071,1568,584,1167,10565
9_post-2014,383,205,494,203,394,360,798,836,206,479,4358
Grand Total,2040,1780,2274,1296,1709,2034,4968,3207,1123,2354,22785
