key_cat_primary,Spiritual & Existential Crisis,Stress Management,Underachievement & Stalled Potential,Confidence & Assertiveness Issues,Finding Meaning in Metaphysics,Relationship Anxiety & Emotional Dependency,Body Image & Eating Disorders,Parenting Struggles & Family Tension,Lack of Direction & Goal-Setting,Gender-based Insecurities,Financial Hardship & Debt,Issues of Religious Faith,Leadership & Business Acumen,Procrastination & Time Management,Career Dissatisfaction & Job-Related Stress,Chronic Health Issues & Pain,Self-Sabotage & Bad Habits,Anxiety Disorders,Stressful Life Transitions,Trauma Recovery & PTSD,Narcissistic Abuse & Manipulative Dynamics,Inadequacy & Perfectionism,Grand Total
year_bin_5yr,key_cat_primary (Count All),,,,,,,,,,,,,,,,,,,,,,
0_0_pre-1855,100.00%,,,,,,,,,,,,,,,,,,,,,,100.00%
0_pre-1855,,,,,,,,,,,,,,,,,,100.00%,,,,,100.00%
1855-1859,100.00%,,,,,,,,,,,,,,,,,,,,,,100.00%
1860-1864,,50.00%,,50.00%,,,,,,,,,,,,,,,,,,,100.00%
1870-1874,100.00%,,,,,,,,,,,,,,,,,,,,,,100.00%
1875-1879,50.00%,25.00%,,,,,,,,,,,,25.00%,,,,,,,,,100.00%
1880-1884,,,,,,,,,100.00%,,,,,,,,,,,,,,100.00%
1885-1889,50.00%,,,50.00%,,,,,,,,,,,,,,,,,,,100.00%
1890-1894,50.00%,,,25.00%,25.00%,,,,,,,,,,,,,,,,,,100.00%
1895-1899,57.14%,,7.14%,21.43%,7.14%,,,,,,,7.14%,,,,,,,,,,,100.00%
1900-1904,29.03%,3.23%,16.13%,6.45%,22.58%,12.90%,3.23%,,6.45%,,,,,,,,,,,,,,100.00%
1905-1909,44.44%,7.41%,3.70%,7.41%,18.52%,,,3.70%,7.41%,,,,,,,7.41%,,,,,,,100.00%
1910-1914,32.00%,4.00%,8.00%,12.00%,24.00%,8.00%,4.00%,8.00%,,,,,,,,,,,,,,,100.00%
1915-1919,25.00%,12.50%,37.50%,12.50%,12.50%,,,,,,,,,,,,,,,,,,100.00%
1920-1924,36.00%,12.00%,12.00%,12.00%,8.00%,12.00%,,,,4.00%,,,,,4.00%,,,,,,,,100.00%
1925-1929,26.32%,5.26%,21.05%,,15.79%,5.26%,,,10.53%,,10.53%,,,,,5.26%,,,,,,,100.00%
1930-1934,56.25%,18.75%,6.25%,,6.25%,,,,6.25%,6.25%,,,,,,,,,,,,,100.00%
1935-1939,23.08%,,3.85%,19.23%,15.38%,3.85%,,3.85%,11.54%,3.85%,3.85%,,,,,3.85%,3.85%,3.85%,,,,,100.00%
