solution_cat,Cognitive & Behavioral Techniques,Physical Health & Lifestyle Changes,Practical Life Management Methods,Relationship & Communication Strategies,Spiritual & Existential Approaches,(blank),Grand Total
year_bin_5yr,year_bin_5yr (Count All),,,,,,
0_0_pre-1855,,,,,100.00%,,100.00%
0_pre-1855,,,,,100.00%,,100.00%
1855-1859,,,100.00%,,,,100.00%
1860-1864,,,100.00%,,,,100.00%
1870-1874,,,,,100.00%,,100.00%
1875-1879,,,50.00%,,50.00%,,100.00%
1880-1884,,,100.00%,,,,100.00%
1885-1889,,,75.00%,,25.00%,,100.00%
1890-1894,,,33.33%,,66.67%,0.00%,100.00%
1895-1899,,,35.71%,7.14%,57.14%,,100.00%
1900-1904,12.90%,3.23%,25.81%,6.45%,51.61%,,100.00%
1905-1909,14.81%,7.41%,18.52%,,59.26%,,100.00%
1910-1914,8.33%,4.17%,29.17%,8.33%,50.00%,0.00%,100.00%
1915-1919,12.50%,,62.50%,,25.00%,,100.00%
1920-1924,12.00%,,28.00%,16.00%,44.00%,,100.00%
1925-1929,11.11%,5.56%,44.44%,11.11%,27.78%,0.00%,100.00%
1930-1934,31.25%,,25.00%,,43.75%,,100.00%
1935-1939,13.04%,,39.13%,,47.83%,0.00%,100.00%
1940-1944,8.00%,,20.00%,,72.00%,,100.00%
1945-1949,13.79%,,31.03%,6.90%,48.28%,,100.00%
1950-1954,21.82%,1.82%,30.91%,,45.45%,0.00%,100.00%
1955-1959,11.86%,1.69%,38.98%,1.69%,45.76%,0.00%,100.00%
1960-1964,24.66%,,24.66%,6.85%,43.84%,,100.00%
1965-1969,17.71%,,26.04%,6.25%,50.00%,0.00%,100.00%
1970-1974,16.36%,1.21%,19.39%,10.30%,52.73%,0.00%,100.00%
1975-1979,22.02%,2.53%,21.30%,7.94%,46.21%,0.00%,100.00%
1980-1984,19.08%,3.31%,32.57%,5.60%,39.44%,0.00%,100.00%
1985-1989,21.04%,2.04%,27.63%,5.81%,43.49%,0.00%,100.00%
1990-1994,17.91%,2.52%,27.24%,7.84%,44.50%,0.00%,100.00%
1995-1999,17.32%,3.23%,31.68%,7.42%,40.34%,0.00%,100.00%
2000-2004,15.85%,4.41%,37.60%,7.72%,34.43%,0.00%,100.00%
2005-2009,16.72%,4.80%,43.22%,6.80%,28.45%,0.00%,100.00%
2010-2014,18.68%,5.64%,42.72%,5.40%,27.56%,0.00%,100.00%
2015-2019,20.83%,6.03%,40.13%,5.07%,27.95%,0.00%,100.00%
9_post-2014,20.00%,,40.00%,8.57%,31.43%,,100.00%
Grand Total,18.25%,4.73%,38.70%,6.24%,32.09%,0.00%,100.00%
